source,target,weight,first_year,last_year
Hasanuddin Al-Habib,Rindu Puspita Wibawa,2,2023,2023
Hasanuddin Al-Habib,Nanang Hoesen. H. A,2,2023,2023
Nanang Hoesen. H. A,Rindu Puspita Wibawa,2,2023,2023
Lusia Rakhmawati,Rindu Puspita Wibawa,1,2023,2023
Asmunin,Rindu Puspita Wibawa,1,2023,2023
Hasanuddin Al-Habib,Lusia Rakhmawati,1,2023,2023
Asmunin,Lusia Rakhmawati,1,2023,2023
Lusia Rakhmawati,Nanang Hoesen. H. A,1,2023,2023
Asmunin,Hasanuddin Al-Habib,1,2023,2023
Asmunin,Nanang Hoesen. H. A,1,2023,2023
I Gusti Putu Asto Buditjahjanto,Reza Rahmadian,1,2023,2023
Reza Rahmadian,Subuh Isnur Haryudo,1,2023,2023
I Gusti Putu Asto Buditjahjanto,Mahendra Widyartono,2,2021,2023
I Gusti Putu Asto Buditjahjanto,Subuh Isnur Haryudo,1,2023,2023
I Gusti Putu Asto Buditjahjanto,Widi Aribowo,2,2021,2023
Mahendra Widyartono,Subuh Isnur Haryudo,1,2023,2023
Subuh Isnur Haryudo,Widi Aribowo,2,2021,2023
Miftahur Rohman,Unit Three Kartini,1,2023,2023
Miftahur Rohman,Subuh Isnur Haryudo,1,2023,2023
Farid Baskoro,Unit Three Kartini,1,2023,2023
Farid Baskoro,Subuh Isnur Haryudo,2,2022,2023
Subuh Isnur Haryudo,Unit Three Kartini,1,2023,2023
Miftahur Rohman,Nurhayati,1,2023,2023
Sayyidul Aulia Alamsyah,Unit Three Kartini,2,2023,2023
Nurhayati,Sayyidul Aulia Alamsyah,1,2023,2023
Bambang Suprianto,Sayyidul Aulia Alamsyah,1,2023,2023
Nurhayati,Unit Three Kartini,2,2022,2023
Parama Diptya Widayaka,Unit Three Kartini,1,2023,2023
Bambang Suprianto,Nurhayati,2,2022,2023
Nurhayati,Parama Diptya Widayaka,1,2023,2023
Bambang Suprianto,Parama Diptya Widayaka,1,2023,2023
Endryansyah,Rifqi Firmansyah,1,2023,2023
Bambang Suprianto,Farid Baskoro,3,2021,2023
Farid Baskoro,Lilik Anifah,4,2020,2023
